본부코드,본부명,지사코드,지사명,노선코드,노선명,방향,휴게소명,이정,면적1,면적2,면적3,면적4,광장포장형태1,광장포장형태2,광장포장형태3,광장포장형태4,두께1,두께2,두께3,두께4,비고
N02723,충북본부,N00338,진천지사,0350,통영대전선/중부선,하남,오창(상),266.740,4053.000,,,,300,,,,86.000,,,,콘+아
N02723,충북본부,N00338,진천지사,0350,통영대전선/중부선,통영,오창(하),266.890,,8884.000,,,,100,,,,86.000,,,
N01795,서울경기본부,N00234,화성지사,0150,서해안선,목포,화성(상),300.490,20378.000,,,,300,,,,30.000,,,,
N01795,서울경기본부,N00234,화성지사,0150,서해안선,서울,화성(하),300.490,,19354.000,,,,100,,,,30.000,,,
N00368,호남지역본부,N00414,부안지사,0150,서해안선,목포,대산휴게소,61.485,,4200.000,,,,100,,,,30.000,,,
N00368,호남지역본부,N00422,함평지사,0150,서해안선,목포,함평천지휴게소,37.320,45041.000,,,,300,,,,0.000,,,,ILP블럭
N00368,호남지역본부,N00422,함평지사,0150,서해안선,서울,함평천지휴게소,30.510,55604.000,,,,300,,,,0.000,,,,ILP블럭
N01800,대구경북본부,N00461,군위지사,0550,중앙선,춘천,군위(상),153.340,17849.000,,,,300,,,,10.000,,,,
N02723,충북본부,N02428,제천지사,0550,중앙선,부산,치악(부산),298.800,54323.000,,,,300,,,,8.000,,,,ILP블럭
N02723,충북본부,N02428,제천지사,0550,중앙선,춘천,치악(춘천),298.800,62477.000,,,,300,,,,8.000,,,,ILP블럭
N01796,강원본부,N00293,홍천지사,0550,중앙선,춘천,홍천(하),366.800,6959.000,,,,300,,,,8.000,,,,ILP블럭
N01800,대구경북본부,N00461,군위지사,0550,중앙선,부산,군위(하),153.340,18843.000,,,,300,,,,10.000,,,,
N01801,부산경남본부,N00534,산청지사,0350,통영대전선/중부선,통영,산청휴게소(상),76.130,,25278.000,,,,100,,,,22.000,,,ILP포장
N01801,부산경남본부,N00534,산청지사,0350,통영대전선/중부선,하남,산청휴게소(하),76.130,,26835.000,,,,100,,,,22.000,,,ILP포장
N00428,경북지역본부,N00469,영주지사,0550,중앙선,부산,안동휴게소,189.780,5000.000,,,,300,,,,30.000,,,,특이사항없음
N00428,경북지역본부,N00469,영주지사,0550,중앙선,춘천,안동휴게소,189.780,5000.000,,,,300,,,,30.000,,,,특이사항없음
N00428,경북지역본부,N01469,고령도로관리소,0122,광주대구선,대구,논공(대구),176.400,,19000.000,,,,100,,,,60.000,,,
N01800,대구경북본부,N00595,영천지사,0207,대구포항선,대구,청통휴게소,21.840,3589.000,,,,300,,,,25.000,,,,
N01800,대구경북본부,N00595,영천지사,0207,대구포항선,포항,와촌휴게소,12.410,3279.000,,,,300,,,,25.000,,,,
N01800,대구경북본부,N00595,영천지사,0207,대구포항선,포항,영천(포항),40.870,33746.000,,,,300,,,,8.000,,,,
N01800,대구경북본부,N00595,영천지사,0207,대구포항선,대구,영천(대구,40.870,32695.000,,,,300,,,,8.000,,,,
N02723,충북본부,N00475,상주지사,0450,중부내륙선,창원,선산휴게소,127.500,13570.000,,,,300,,,,8.000,,,,가감속차로
N02723,충북본부,N00475,상주지사,0450,중부내륙선,양평,선산휴게소,127.500,13700.000,,,,300,,,,8.000,,,,
N02723,충북본부,N00475,상주지사,0450,중부내륙선,창원,문경휴게소,170.200,21330.000,,,,300,,,,30.000,,,,가감속차로
N02723,충북본부,N00475,상주지사,0450,중부내륙선,양평,문경휴게소,170.200,20340.000,,,,300,,,,30.000,,,,
N01801,부산경남본부,N02749,서울산지사,0010,경부선,서울,양산휴게소,11.000,16700.000,,,,300,,,,10.000,,,,ILP블럭
N01801,부산경남본부,N02443,고성지사,0350,통영대전선/중부선,하남,고성공룡나라휴게,30.430,40675.000,,,,300,,,,25.000,,,,
N01801,부산경남본부,N02443,고성지사,0350,통영대전선/중부선,통영,고성공룡나라휴게,29.380,46977.000,,,,300,,,,25.000,,,,
N01801,부산경남본부,N00490,울산지사,0010,경부선,부산,경주,58.600,72564.000,,,,300,,,,45.000,,,,
N02723,충북본부,N02428,제천지사,0550,중앙선,부산,단양(부산),258.700,31481.000,,,,300,,,,8.000,,,,ILP블럭
N02723,충북본부,N02428,제천지사,0550,중앙선,춘천,단양(춘천),251.800,79980.000,,,,300,,,,8.000,,,,ILP블럭
N00309,충청지역본부,N00363,보령지사,0150,서해안선,서울,대천휴게소,199.000,49196.000,,,,300,,,,10.000,,,,ILP포장
N00309,충청지역본부,N00363,보령지사,0150,서해안선,목포,대천휴게소,199.000,38520.000,,,,300,,,,10.000,,,,ILP포장
N00309,충청지역본부,N00363,보령지사,0150,서해안선,서울,서천휴게소,168.000,54919.000,,,,300,,,,10.000,,,,ILP포장
N00309,충청지역본부,N00363,보령지사,0150,서해안선,목포,서천휴게소,168.000,57948.000,,,,300,,,,10.000,,,,ILP포장
N00309,충청지역본부,N01391,부여지사,0150,서해안선,서울,군산,147.000,50249.000,,,,300,,,,10.000,,,,ILP포장
N02723,충북본부,N00305,충주지사,0450,중부내륙선,창원,괴산(하)휴게소,203.400,14463.000,,,,300,,,,8.000,,,,ILP포함
N02723,충북본부,N00305,충주지사,0450,중부내륙선,양평,괴산(상)휴게소,203.400,11658.000,,,,300,,,,8.000,,,,ILP포함
N01797,대전충남본부,N00321,천안지사,0010,경부선,서울,청원(상),315.900,41420.000,,,,300,,,,8.000,,,,ILP   KR
N00267,강원지역본부,N01443,강릉도로관리소,0650,동해선,부산,구정(동해),37.800,16764.000,,,,300,,,,60.000,,,,
N00267,강원지역본부,N01443,강릉도로관리소,0650,동해선,속초,옥계,12.890,26346.000,,,,300,,,,60.000,,,,
N00309,충청지역본부,N00349,무주지사,0350,통영대전선/중부선,통영,덕유산휴게소,146.600,15771.000,,,,300,,,,10.000,,,,ILP포장
N00309,충청지역본부,N00349,무주지사,0350,통영대전선/중부선,하남,덕유산휴게소,146.600,14465.000,,,,300,,,,10.000,,,,ILP포장
N00309,충청지역본부,N00349,무주지사,0350,통영대전선/중부선,통영,인삼랜드휴게소,191.300,20353.000,,,,300,,,,10.000,,,,ILP포장
N00309,충청지역본부,N00349,무주지사,0350,통영대전선/중부선,하남,인삼랜드휴게소,191.300,7052.000,,,,300,,,,10.000,,,,ILP포장
N00309,충청지역본부,N00344,영동지사,0010,경부선,부산,옥천(하),255.200,17966.000,,,,300,,,,8.000,,,,ILP포장
